frameMs,draws,vsB0,vsB1,vsB2,vsB3,psB0,psB1,psB2,psB3,vbLocks,vbDiscards,ibLocks,ibDiscards
7.06,15,15,0,0,0,0,0,0,0,14,0,0,0
7.61,15,15,0,0,0,0,0,0,0,14,0,0,0
7.48,15,15,0,0,0,0,0,0,0,14,0,0,0
8.63,15,15,0,0,0,0,0,0,0,14,0,0,0
6.65,15,15,0,0,0,0,0,0,0,14,0,0,0
7.82,15,15,0,0,0,0,0,0,0,14,0,0,0
6.95,15,15,0,0,0,0,0,0,0,14,0,0,0
7.69,15,15,0,0,0,0,0,0,0,14,0,0,0
7.47,15,15,0,0,0,0,0,0,0,14,0,0,0
6.49,15,15,0,0,0,0,0,0,0,14,0,0,0
7.64,15,15,0,0,0,0,0,0,0,14,0,0,0
6.61,15,15,0,0,0,0,0,0,0,14,0,0,0
7.91,15,15,0,0,0,0,0,0,0,14,0,0,0
6.66,15,15,0,0,0,0,0,0,0,14,0,0,0
7.03,15,15,0,0,0,0,0,0,0,14,0,0,0
7.87,15,15,0,0,0,0,0,0,0,14,0,0,0
6.03,15,15,0,0,0,0,0,0,0,14,0,0,0
7.31,15,15,0,0,0,0,0,0,0,14,0,0,0
6.28,15,15,0,0,0,0,0,0,0,14,0,0,0
7.55,15,15,0,0,0,0,0,0,0,14,0,0,0
9.87,15,15,0,0,0,0,0,0,0,14,0,0,0
7.24,15,15,0,0,0,0,0,0,0,14,0,0,0
7.34,15,15,0,0,0,0,0,0,0,14,0,0,0
7.58,15,15,0,0,0,0,0,0,0,14,0,0,0
6.72,15,15,0,0,0,0,0,0,0,14,0,0,0
8.95,15,15,0,0,0,0,0,0,0,14,0,0,0
6.78,15,15,0,0,0,0,0,0,0,14,0,0,0
6.79,15,15,0,0,0,0,0,0,0,14,0,0,0
8.88,15,15,0,0,0,0,0,0,0,14,0,0,0
6.17,15,15,0,0,0,0,0,0,0,14,0,0,0
7.20,15,15,0,0,0,0,0,0,0,14,0,0,0
6.72,15,15,0,0,0,0,0,0,0,14,0,0,0
7.16,15,15,0,0,0,0,0,0,0,14,0,0,0
6.37,15,15,0,0,0,0,0,0,0,14,0,0,0
7.16,15,15,0,0,0,0,0,0,0,14,0,0,0
7.15,15,15,0,0,0,0,0,0,0,14,0,0,0
6.73,15,15,0,0,0,0,0,0,0,14,0,0,0
7.94,15,15,0,0,0,0,0,0,0,14,0,0,0
6.67,15,15,0,0,0,0,0,0,0,14,0,0,0
8.67,15,15,0,0,0,0,0,0,0,14,0,0,0
6.41,15,15,0,0,0,0,0,0,0,14,0,0,0
8.24,15,15,0,0,0,0,0,0,0,14,0,0,0
7.01,15,15,0,0,0,0,0,0,0,14,0,0,0
7.86,16,15,0,0,0,0,0,0,0,15,1,0,0
6.61,15,15,0,0,0,0,0,0,0,14,0,0,0
7.18,15,15,0,0,0,0,0,0,0,14,0,0,0
6.62,15,15,0,0,0,0,0,0,0,14,0,0,0
