frameMs,draws,vsB0,vsB1,vsB2,vsB3,psB0,psB1,psB2,psB3,vbLocks,vbDiscards,ibLocks,ibDiscards
6.57,36,32,0,0,14,15,0,0,14,34,0,0,0
7.09,36,32,0,0,14,15,0,0,14,34,1,0,0
6.86,36,32,0,0,14,15,0,0,14,34,0,0,0
7.19,36,32,0,0,14,15,0,0,14,34,0,0,0
7.05,36,32,0,0,14,15,0,0,14,34,0,0,0
7.01,36,32,0,0,14,15,0,0,14,34,0,0,0
7.35,36,32,0,0,14,15,0,0,14,34,0,0,0
7.17,36,32,0,0,14,15,0,0,14,34,0,0,0
7.82,36,32,0,0,14,15,0,0,14,34,0,0,0
7.51,36,32,0,0,14,15,0,0,14,34,0,0,0
5.63,36,32,0,0,14,15,0,0,14,34,0,0,0
11.33,36,32,0,0,14,15,0,0,14,34,0,0,0
12.98,36,32,0,0,14,15,0,0,14,34,0,0,0
7.48,36,32,0,0,14,15,0,0,14,34,0,0,0
13.40,36,32,0,0,14,15,0,0,14,34,1,0,0
12.55,36,32,0,0,14,15,0,0,14,34,0,0,0
9.31,36,32,0,0,14,15,0,0,14,34,0,0,0
7.54,36,32,0,0,14,15,0,0,14,34,0,0,0
11.32,36,32,0,0,14,15,0,0,14,34,0,0,0
13.61,36,32,0,0,14,15,0,0,14,34,0,0,0
12.27,36,32,0,0,14,15,0,0,14,34,0,0,0
8.21,36,32,0,0,14,15,0,0,14,34,0,0,0
12.20,36,32,0,0,14,15,0,0,14,34,0,0,0
8.37,36,32,0,0,14,15,0,0,14,34,0,0,0
13.01,36,32,0,0,14,15,0,0,14,34,0,0,0
8.07,36,32,0,0,14,15,0,0,14,34,0,0,0
7.90,36,32,0,0,14,15,0,0,14,34,0,0,0
6.08,36,32,0,0,14,15,0,0,14,34,1,0,0
6.93,36,32,0,0,14,15,0,0,14,34,0,0,0
6.27,36,32,0,0,14,15,0,0,14,34,0,0,0
7.04,36,32,0,0,14,15,0,0,14,34,0,0,0
16.53,40,36,0,0,14,15,0,0,14,38,0,0,0
2.61,40,36,0,0,14,15,0,0,14,38,0,0,0
7.53,40,36,0,0,14,15,0,0,14,38,0,0,0
6.64,40,36,0,0,14,15,0,0,14,38,0,0,0
7.02,40,36,0,0,14,15,0,0,14,38,0,0,0
6.49,40,36,0,0,14,15,0,0,14,38,0,0,0
7.89,40,36,0,0,14,15,0,0,14,38,0,0,0
6.14,40,36,0,0,14,15,0,0,14,38,0,0,0
7.69,40,36,0,0,14,15,0,0,14,38,0,0,0
7.26,40,36,0,0,14,15,0,0,14,38,1,0,0
7.32,40,36,0,0,14,15,0,0,14,38,0,0,0
6.45,40,36,0,0,14,15,0,0,14,38,0,0,0
7.39,40,36,0,0,14,15,0,0,14,38,0,0,0
7.44,40,36,0,0,14,15,0,0,14,38,0,0,0
7.39,40,36,0,0,14,15,0,0,14,38,0,0,0
7.44,40,36,0,0,14,15,0,0,14,38,0,0,0
6.12,40,36,0,0,14,15,0,0,14,38,0,0,0
7.67,40,36,0,0,14,15,0,0,14,38,0,0,0
7.81,40,36,0,0,14,15,0,0,14,38,0,0,0
7.55,40,36,0,0,14,15,0,0,14,38,0,0,0
6.47,40,36,0,0,14,15,0,0,14,38,0,0,0
7.87,40,36,0,0,14,15,0,0,14,38,1,0,0
6.45,40,36,0,0,14,15,0,0,14,38,0,0,0
7.03,40,36,0,0,14,15,0,0,14,38,0,0,0
7.58,40,36,0,0,14,15,0,0,14,38,0,0,0
6.87,40,36,0,0,14,15,0,0,14,38,0,0,0
8.30,40,36,0,0,14,15,0,0,14,38,0,0,0
6.78,40,36,0,0,14,15,0,0,14,38,0,0,0
7.13,40,36,0,0,14,15,0,0,14,38,0,0,0
